Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Fuente de Sevilla,Monument,GLORIETA SEVILLA ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",13,14,164.03
Fuente de taza baja Jardín Príncipe de Anglona,Monument,Pza Paja ,Plaza del Cordón,"Plaza del Cordón,",9,15,133.11
Fuente de Tudescos,Monument,Pza Soledad Torres Acosta ,Miguel Moya,"Calle Miguel Moya nº 1,",9,18,140.77
Fuente del Bambú,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",3,20,39.64
Fuente del Barrio del Niño Jesús,Monument,Pza Menéndez Pelayo ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",10,17,100.76
Fuente del Batán,Monument,CARRETERA ZARZON 6,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",11,16,501.44
Fuente del Berro,Monument,C Peñascales ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,242.53
Fuente del Canal de la Partida,Monument,Gta Patines ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",27,0,428.94
Fuente del Canal Isabel II,Monument,CALLE SANTA ENGRACIA 125,José Abascal,"Calle José Abascal nº 33,",2,24,232.29
Fuente del Centro de investigaciones biológicas C.S.I.C.,Monument,CALLE VELAZQUEZ 144,Serrano 113,"Calle Serrano nº 113B,",7,20,281.66
Fuente del colegio Amoros,Monument,C Joaquín Turina 37,"Alfredo Aleix, 7","381 - Alfredo Aleix, 7,",7,8,345.87
Fuente del Corregidor,Monument,Pza Corregidor Alonso de Tobar s/n,Marroquina,"Calle Camino de los Vinateros nº 108,",1,17,87.83
Fuente del Fauno de La Rosaleda,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",4,23,107.72
Fuente del Hospital La Paz,Monument,Pº Castellana 261,Pedro Rico,"Calle Pedro Rico nº 6,",1,22,55.94
Fuente del invernadero de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",3,20,39.64
Fuente del Liceo,Monument,Pza Liceo ,Plaza del Liceo,"Plaza del Liceo,",8,16,32.77
Fuente del Ministerio de Economía,Monument,PASEO CASTELLANA 166,Castellana 164,"Paseo de la Castellana nº 164,Comunidad de Madrid España",5,18,54.97
Fuente del Ministerio de Industria,Monument,PASEO CASTELLANA 158,Doctor Fleming,"Calle Doctor Fleming nº 7,",4,15,191.68
Fuente del monumento a Isabel la Católica,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",5,18,121.41
Fuente del Museo del Traje,Monument,Avda Juan de Herrera 2,INEF,"Avenida Juan de Herrera frente a la calle Paul Guinard,",3,20,115.46
Fuente del niño o fuente de Finlandia,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",4,20,12.4
Fuente del nuevo acceso al parque Juan Carlos I,Monument,Avda Logroño 179,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,82.6
Fuente del Padre Piquer,Monument,Pº Extremadura ,"Calle Cardaño, 10","Calle Cardaño, 10,",6,18,179.3
Fuente del Pajarito,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",2,21,1900.56
Fuente del palacio del marqués de Salamanca,Monument,Pº Recoletos ,Biblioteca Nacional,"Paseo de Recoletos nº 20,",4,18,189.66
Fuente del parque Arriaga,Monument,C Arriaga 17,Francisco Villaespesa  39,"Francisco Villaespesa, 39,",5,18,304.53
Fuente del parque Calero,Monument, ,Avenida Donostiarra,"Calle Virgen de la Alegría nº 18,",14,9,302.26
Fuente del parque Cerro Peñabel,Monument,PARQUE CERRO PEÑABEL ,"Camino de Ganapanes, 40","Camino de Ganapanes, 40,",5,19,117.12
Fuente del parque Ciudad de los Ángeles,Monument, ,"Calle de Bohemios, 1","Calle de Bohemios, 1,",1,23,386.22
Fuente del parque Darwin,Monument, ,"Avenida Moratalaz, 25","Avenida Moratalaz, 25,",16,8,184.27
Fuente del parque de Berlín,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",3,20,182.86
Fuente del parque de Comillas,Monument, ,"Calle del Sorbe , 20","Calle del Sorbe , 20,",20,4,324.39
Fuente del parque de El Espinillo,Monument, ,"Calle Carmen de Burgos, 4","Calle Carmen de Burgos, 4,",14,9,332.54
Fuente del parque de las Cruces,Monument, ,"Calle Guareña, 13","Calle Guareña, 13,",7,11,140.48
Fuente del parque de las Naciones,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,176.58
Fuente del parque de Moratalaz,Monument, ,"Corregidor Ldo. Antonio de Mena, sn","Corregidor licenciado Antonio de Mena, sn,",3,21,266.14
Fuente del parque de Roma,Monument, ,Parque Roma,"Calle Alcalde Sáinz de Baranda frente al nº 107,",6,17,448.72
Fuente del parque del Manzanares,Monument,CAMINO PERALES 1,"Avenida Cordoba, 21","Avenida Cordoba, 21,",19,2,265.17
Fuente del parque Doña Guiomar,Monument, ,"Calle de Velacho Alto, 2","Calle de Velacho Alto, 2,",9,15,514.88
Fuente del parque Emir Mohamed I,Monument, ,Segovia 26,"Calle Segovia nº 26,",12,15,141.98
Fuente del parque Emperatriz María de Austria,Monument,Avda Vía Lusitana ,"Av Abrantes, 55","Av Abrantes, 55,",19,5,241.47
Fuente del parque Fuencarral,Monument, ," Estación  Cerc. Fuencarral-El Pardo, ","601 -  Estación  Cerc. Fuencarral-El Pardo, ,",1,22,324.06
Fuente del parque Villarrosa,Monument,C Aconcagua ,"Calle de Mota del Cuervo, 70","Calle de Mota del Cuervo, 70,",3,21,419.06
Fuente del paseo Pintor Rosales,Monument,Pº Pintor Rosales ,Ferraz,"Calle Evaristo San Miguel nº 2,",2,21,162.48
Fuente del pequeño tritón,Monument, ,Velázquez,"Calle Alcalá nº 95,",10,13,191.8
Fuente del Plátano Gordo,Monument,Pº Azul ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",12,7,442.26
Fuente del Rey,Monument,Ctra Castilla ,"Calle de Caroli, 1","Calle de Caroli, 1,",9,14,1449.66
Fuente del río Lozoya,Monument,CALLE BRAVO MURILLO 49,Canal,"Calle José Abascal frente al nº 2,",1,22,86.55
Fuente del Teléfono,Monument,Pq Cruces ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",7,17,425.66
Fuente del Triángulo,Monument,Gta Patines ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",12,7,107.62
Fuente del Zoológico,Monument,Ctra Zarzón ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",11,16,687.07
Fuente Egipcia,Monument,Pº Venezuela ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",17,10,478.67
Fuente elíptica en la avenida de Logroño,Monument,Avda Logroño 183,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,105.4
Fuente en Aluche,Monument,C Ocaña ,"Calle Valmojado, 295","Calle Valmojado, 295,",5,12,41.02
Fuente en cascada antigua Mariblanca,Monument,Pº Recoletos ,Cibeles,"Plaza Cibeles,",4,20,229.18
Fuente en homenaje a la Mujer,Monument,PLAZA ALSACIA 1,Hermanos Garcia Noblejas 133,"Hermanos Garcia Noblejas, 133,",17,6,143.54
Fuente en la avenida de Brasil,Monument,AVENIDA BRASIL 1,General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",2,21,132.95
Fuente en la avenida de Brasilia,Monument,Avda Brasilia ,Avenida Brasilia,"Avenida de Brasilia frente al nº 9,",8,15,198.77
Fuente en la avenida de Daroca,Monument,Avda Daroca ,Francisco Villaespesa  39,"Francisco Villaespesa, 39,",5,18,245.3
Fuente en la avenida de la Albufera,Monument,Avda Albufera ,"Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",3,24,159.25
Fuente en la avenida de la Felicidad,Monument,Avda Felicidad ,"Avenida de Orovilla, 53","Avenida de Orovilla, 53,",14,13,46.82
Fuente en la avenida de las Glorietas,Monument,C Esteban Carros ,"Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",21,6,472.94
Fuente en la avenida de Logroño I,Monument,AVENIDA LOGROÑO 2,"Parador de Santa Lucía, 8","Parador de Santa Lucía, 8,",8,16,240.33
Fuente en la avenida de Logroño II,Monument,Avda Logroño ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,416.86
Fuente en la avenida de Logroño III,Monument,Avda Logroño 38,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,275.32
Fuente en la avenida de Logroño IV,Monument,Avda Logroño 42,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,169.81
Fuente en la avenida de Logroño V,Monument,Avda Logroño 191,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,170.54
Fuente en la avenida de Logroño VI,Monument,Avda Logroño 205,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",12,11,278.28
Fuente en la avenida de los Poblados,Monument,Ctra Leganés 110,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",4,23,
Fuente en la avenida Marqués de Corbera,Monument,Avda Marqués de Corbera 1,Marqués de Corbera 12,"Avenida Marqués de Corbera nº 12,",6,18,83.62
Fuente en la avenida Nuestra Señora de Fatima,Monument,Avda Nuestra Señora de Fátima ,"Paseo de Marcelino Camacho, 53B","Paseo de Marcelino Camacho, 53B,",7,15,435.17
Fuente en la avenida Pablo Neruda,Monument,Avda Miguel Hernández s/n,"Calle de los Andaluces, 2","Calle de los Andaluces, 2,",2,21,272.35
Fuente en la calle Aceuchal,Monument,C Alfaro ,"Calle de El Toboso, 115","Calle de El Toboso, 115,",11,12,308.5
Fuente en la calle Agustín de Foxá,Monument,CALLE AGUSTIN DE FOXA 1,Plaza de Castilla,"Paseo de la Castellana nº 216,",5,13,128.7
Fuente en la calle Argumosa,Monument,C Argumosa ,Ronda de Atocha,"Ronda de Atocha nº 2,",3,24,259.74
Fuente en la calle Arroyo del Olivar,Monument,C Arroyo del Olivar ,Concordia,"Calle Arroyo del Olivar nº 6,",19,3,27.46
Fuente en la calle Arturo Soria y avenida de San Luis,Monument,C Arturo Soria 310,"493 Arturo Soria, 312","Arturo Soria, 312,",1,22,31.5
Fuente en la calle Batería,Monument,CALLE BATERIAS 9,Carlota O’Neill,"Calle Carlota O'Neill nº 32,",3,21,274.02
Fuente en la calle Bravo Murillo,Monument,CALLE BRAVO MURILLO 1,Quevedo,"Glorieta de Quevedo nº 5,",3,21,34.65
Fuente en la calle Brescia,Monument,C Brescia 1,Avenida Brasilia,"Avenida de Brasilia frente al nº 9,",8,15,284.85
Fuente en la calle Canarias,Monument,C Canarias 52-54,Juan Martín,"Calle Juan Martín el Empecinado nº 16,",6,17,181.22
Fuente en la calle Caramuel,Monument,C Caramuel ,Caramuel,"Calle Caramuel nº 51,",22,5,316.57
Fuente en la calle Condesa de Venadito,Monument,C Condesa de Venadito 11,Carlota O’Neill,"Calle Carlota O'Neill nº 32,",3,21,308.41
Fuente en la calle Damasquillo,Monument,C Damasquillo 4,"Calle Guareña, 13","Calle Guareña, 13,",7,11,182.75
Fuente en la calle del Euro,Monument,Avda Euro ,Albox 33,"Calle Albox 33,",8,15,366.65
Fuente en la calle Espejo,Monument,C Espejo 8,Palacio de Oriente,"Calle Carlos III nº 1,",4,12,128.94
Fuente en la calle Francos Rodríguez,Monument,CALLE FRANCOS RODRIGUEZ 67,Francos Rodríguez,"Calle Francos Rodríguez nº 62,",7,16,245.0
Fuente en la calle Fuente Carrantona,Monument,C Arroyo Fontarrón s/n,"Calle de los Andaluces, 2","Calle de los Andaluces, 2,",2,21,517.43
Fuente en la calle Ofelia Nieto,Monument,CALLE OFELIA NIETO 1,Francos Rodríguez,"Calle Francos Rodríguez nº 62,",7,16,331.3
